OBJECTID,GEOBASID,DOWNTOWN,COMPKEY,STNAME,OBJECTID_1,NAME,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID,HPMS,FLOW_COUNT,SHAPE_Length
15,20950400,N,4471,3RD AVE NW,264,"3RD AVE NW, S/O NW 80TH ST",2014,4471,8900,314623, ,Y,11692.8452307516
16,21550520,N,4641,30TH AVE NE,45,"30TH AVE NE, S/O NE 145TH ST",2014,4641,6200,316252, ,Y,5900.81961775916
17,93450660,N,12402,RAINIER AVE S,199,"RAINIER AVE S, NW/O S HOLLY ST",2014,12402,21600,316498, ,Y,9900.4797844563
18,52501190,N,9001,AURORA AVE N,82,"AURORA AVE N, S/O N 145TH ST",2014,9001,34900,316698, ,Y,8773.64613124239
19,16100130,N,3731,25TH AVE NE,4,"25TH AVE NE, S/O NE 75TH ST",2014,3731,11600,315071,Y, ,7222.04465264722
20,114800070,Y,14633,E PINE ST,111,"E PINE ST, W/O BROADWAY",2014,14633,14400,316384, ,Y,2305.05136779096
21,20800160,Y,4388,3RD AVE,55,"3RD AVE, NW/O LENORA ST",2014,4388,7000,316691, ,Y,3855.52176173807
22,135950080,N,17506,NE 75TH ST,183,"NE 75TH ST, W/O ROOSEVELT WAY NE",2014,17506,22500,315216,Y,Y,1638.81493085965
23,27050130,N,5363,35TH AVE NE,49,"35TH AVE NE, N/O NE 75TH ST",2014,5363,12900,315073,Y,Y,16661.9656108539
24,16100020,N,3720,25TH AVE NE,41,"25TH AVE NE, S/O NE 47TH ST",2014,3720,20100,315069,Y,Y,1566.2839821919
25,38850180,Y,7244,5TH AVE,66,"5TH AVE, NW/O LENORA ST",2014,7244,13600,316683, ,Y,3161.42849070503
26,44350100,Y,7882,6TH AVE,70,"6TH AVE, SE/O PIKE ST",2014,7882,14700,316685, ,Y,4217.53819643085
27,3200010,N,1523,12TH AVE,22,"12TH AVE, N/O E YESLER WAY",2014,1523,13700,316563, ,Y,6655.50805550886
28,67700130,N,10387,FAUNTLEROY WAY SW,123,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2014,10387,17400,315164,Y,Y,6701.18430500784
29,98100150,N,12968,STONE WAY N,231,"STONE WAY N, S/O N 45TH ST",2014,12968,15100,316571, ,Y,7875.29036587826
30,114650070,Y,14599,E PIKE ST,110,"E PIKE ST, W/O BROADWAY",2014,14599,12400,316186, ,Y,2073.24908652944
31,148450150,N,18971,NW 85TH ST,191,"NW 85TH ST, W/O 16TH AVE NW",2014,18971,14700,315976, ,Y,7963.5986034822
32,96200010,Y,12786,SENECA ST OFF RP,227,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2014,12786,7800,313369,Y,Y,568.309333198742
33,87750010,N,11941,MYERS WAY S,154,"MYERS WAY S, S/O OLSON PL SW",2014,11941,5700,315182,Y,Y,2781.79481847115
34,61150170,N,9833,CORSON AVE S,99,"CORSON AVE S, S/O S MICHIGAN ST",2014,9833,6500,316592, ,Y,2609.23123046449
35,104200130,Y,13507,WESTERN AVE,252,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",2014,13507,8500,315328,Y,Y,4123.16889187981
36,91650050,N,12231,PINEHURST WAY NE,196,"PINEHURST WAY NE, NE/O NE 115TH ST",2014,12231,8400,316396, ,Y,2635.54925348418
37,71050670,N,10775,GREENWOOD AVE N,127,"GREENWOOD AVE N, N/O N 107TH ST",2014,10775,27800,315168,Y,Y,5295.66058268564
38,5550680,N,2096,15TH AVE NE,2,"15TH AVE NE, S/O NE 145TH ST",2014,2096,15600,315061,Y, ,7106.19072711216
39,27200240,N,5462,35TH AVE SW,53,"35TH AVE SW, S/O SW MORGAN ST",2014,5462,21300,316642, ,Y,8613.68571913959
40,181450280,N,22771,SW ROXBURY ST,239,"SW ROXBURY ST, E/O 26TH AVE SW",2014,22771,23000,316644, ,Y,9082.82354480222
41,180000070,N,22592,SW MORGAN ST,238,"SW MORGAN ST, W/O 35TH AVE SW",2014,22592,7700,314749, ,Y,2660.88142111398
42,173900035,N,21818,SW AVALON WAY,234,"SW AVALON WAY, N/O 30TH AVE SW",2014,21818,13200,316413, ,Y,3425.59553577961
43,108300040,N,13812,E ALOHA ST,282,"E ALOHA ST, E/O 10TH AVE E",2014,13812,10600,314428, ,Y,870.3606592182
44,61150160,N,9832,CORSON AVE S,98,"CORSON AVE S, N/O S MICHIGAN ST",2014,9832,27600,315102,Y,Y,1873.9878718934
45,23850280,N,5001,32ND AVE NW,47,"32ND AVE NW, S/O NW 80TH ST",2014,5001,4700,316681, ,Y,8343.25711046729
46,57900200,N,9548,CALIFORNIA AVE SW,93,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2014,9548,13900,316265, ,Y,7978.44448677336
47,82910010,N,11481,M L KING JR WAY,146,"M L KING JR WAY, N/O E YESLER WAY",2014,11481,15100,315942, ,Y,2335.64323218172
48,94250590,N,12545,RENTON AVE S,204,"RENTON AVE S, SE/O S BANGOR ST",2014,12545,11100,316273, ,Y,2893.13537099361
49,5750060,N,2188,15TH AVE W,27,"15TH AVE W, N/O W ARMORY WAY",2014,2188,40900,316487, ,Y,7640.76352116591
50,91150330,N,12159,PHINNEY AVE N,195,"PHINNEY AVE N, S/O N 65TH ST",2014,12159,11200,315972, ,Y,4076.44635073289
51,129750300,N,16504,NE 125TH ST,170,"NE 125TH ST, E/O 35TH AVE NE",2014,16504,12800,315912, ,Y,17300.9464367339
52,5550500,N,2078,15TH AVE NE,260,"15TH AVE NE, S/O NE NORTHGATE WAY",2014,2078,8700,315958, ,Y,11465.3421484054
53,20800110,Y,4383,3RD AVE,56,"3RD AVE, SE/O PIKE ST",2014,4383,8000,316249, ,Y,4292.23532766889
54,188450140,N,23539,WEST MARGINAL WAY SW,248,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2014,23539,16400,315324,Y,Y,13076.4449499091
55,5550250,N,2054,15TH AVE NE,25,"15TH AVE NE, S/O NE 75TH ST",2014,2054,10300,316239, ,Y,2680.44066483259
56,94850755,N,12667,ROOSEVELT WAY NE,209,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2014,12667,20200,315288,Y,Y,1819.62250413868
57,,N,3359,23RD AVE,38,"23RD AVE, N/O E CHERRY ST",2014,3359,19200,315936, ,Y,7208.80351716654
58,38950700,N,7340,5TH AVE NE,64,"5TH AVE NE, S/O 145TH ST OFF RP",2014,7340,3900,316254, ,Y,3988.297273481
59,109100160,N,13894,E CHERRY ST,106,"E CHERRY ST, W/O 26TH AVE",2014,13894,8400,315946, ,Y,5063.2658428403
60,5600260,N,2117,15TH AVE NW,26,"15TH AVE NW, S/O NW 80TH ST",2014,2117,30300,316241, ,Y,8046.17743951545
61,112000040,N,14243,E JOHN ST,107,"E JOHN ST, E/O BROADWAY E",2014,14243,15700,315948, ,Y,972.867125631906
62,47050150,Y,8164,7TH AVE,71,"7TH AVE, NW/O LENORA ST",2014,8164,3700,316693, ,Y,2363.70406660409
63,48100100,N,8477,8TH AVE SW,75,"8TH AVE SW, N/O SW ROXBURY ST",2014,8477,6600,313883, ,Y,2079.73698286127
64,20950790,N,4513,3RD AVE NW,54,"3RD AVE NW, S/O NW 145TH ST",2014,4513,9300,313835, ,Y,17217.821065003
65,6950380,N,2349,16TH AVE SW,28,"16TH AVE SW, N/O SW CAMBRIDGE ST",2014,2349,4800,313863, ,Y,5953.08378003457
66,89550010,N,12052,OLSON PL SW,194,"OLSON PL SW, SW/O 1ST AVE S",2014,12052,31100,315280,Y,Y,2293.66521745947
67,57350200,N,9450,BROADWAY,91,"BROADWAY, S/O E DENNY WAY",2014,9450,15300,316566, ,Y,5032.18023101974
68,5650245,N,2155,15TH AVE S,261,"15TH AVE S, S/O S BRADFORD ST",2014,2155,14100,316243, ,Y,2700.68104130071
69,113000280,N,14407,EAST MARGINAL WAY S,116,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",2014,14407,11900,315130,Y,Y,1679.0023771194
70,27050120,N,5362,35TH AVE NE,50,"35TH AVE NE, S/O NE 75TH ST",2014,5362,13100,315075,Y,Y,8287.31308923215
71,185650015,N,23271,W EMERSON PL,245,"W EMERSON PL, SE/O 21ST AVE W",2014,23271,21000,316417, ,Y,2821.73620591288
72,55650170,B,9318,BOREN AVE,88,"BOREN AVE, SE/O PIKE ST",2014,9318,20400,315938, ,Y,1224.11373892785
73,99400050,N,13038,SWIFT AVE S,240,"SWIFT AVE S, NW/O S ALBRO PL",2014,13038,7500,316278, ,Y,6228.65723918833
74,300215,N,1214,1ST AVE S,34,"1ST AVE S, S/O S SPOKANE SR ST",2014,1214,17900,316233, ,Y,6553.64604581829
75,100140,Y,1013,1ST AVE,35,"1ST AVE, NW/O LENORA ST",2014,1013,13700,315065,Y,Y,4622.27742896687
76,47850140,Y,8279,8TH AVE,76,"8TH AVE, SE/O PIKE ST",2014,8279,4900,315095,Y,Y,3919.71877520201
77,50000425,N,8689,AIRPORT WAY S,267,"AIRPORT WAY S, NW/O S LUCILE ST",2014,8689,17000,315870, ,Y,6686.5330775749
78,129750230,N,16496,NE 125TH ST,11,"NE 125TH ST, W/O 27TH AVE NE",2014,16496,16600,315203,Y, ,5659.85457770065
79,93450730,N,12409,RAINIER AVE S,277,"RAINIER AVE S, S/O S OTHELLO ST",2014,12409,22700,315816, ,Y,7910.41450444665
80,166350100,N,20911,S MYRTLE ST,221,"S MYRTLE ST, W/O BEACON WR AVE S",2014,20911,10900,316574, ,Y,1055.60188805434
81,63450280,Y,10023,DENNY WAY,103,"DENNY WAY, E/O STEWART ST",2014,10023,23000,315119,Y,Y,1257.12045476637
82,67700450,N,10420,FAUNTLEROY WAY SW,122,"FAUNTLEROY WAY SW, N/O SW BARTON ST",2014,10420,11500,316000, ,Y,8904.53350913795
83,71050650,N,10764,GREENWOOD AVE N,128,"GREENWOOD AVE N, S/O HOLMAN RD N",2014,10764,12500,316446, ,Y,6617.58513858824
84,53850050,N,9093,BEACH DR SW,84,"BEACH DR SW, SE/O 61ST AVE SW",2014,9093,4000,316262, ,Y,17360.7054255497
85,31300120,Y,6130,4TH AVE,62,"4TH AVE, SE/O PIKE ST",2014,6130,20600,314045,Y,Y,4472.22651773913
86,44350170,Y,7890,6TH AVE,266,"6TH AVE, NW/O LENORA ST",2014,7890,11200,316686, ,Y,2945.64639494732
87,80150280,N,11166,LAKE CITY WAY NE,138,"LAKE CITY WAY NE, SW/O NE 115TH ST",2014,11166,41500,315962, ,Y,2944.37513629408
88,93451120,N,12439,RAINIER AVE S,197,"RAINIER AVE S, E/O 75TH AVE S",2014,12439,19100,315920, ,Y,8041.57296682896
89,119750060,N,15264,N 145TH ST,159,"N 145TH ST, W/O LINDEN AVE N",2014,15264,16300,315186,Y,Y,3896.13507154779
90,38950585,N,7255,5TH AVE NE,65,"5TH AVE NE, S/O NE NORTHGATE WAY",2014,7255,19500,315089,Y,Y,8580.44053367396
91,125000140,N,15962,N 85TH ST,274,"N 85TH ST, W/O ASHWORTH AVE N",2014,15962,24500,315199, ,Y,6273.09271729292
92,136400060,N,17610,NE 80TH ST,184,"NE 80TH ST, E/O 5TH AVE NE",2014,17610,10300,316402, ,Y,1329.87340928132
93,5550170,N,2047,15TH AVE NE,259,"15TH AVE NE, S/O NE 65TH ST",2014,2047,11500,316237, ,Y,5297.11592128567
94,132850275,N,288753,NE 45TH ST,173,"NE 45TH ST, W/O NE 45TH PL",2014,288753,38000,316400, ,Y,2427.54180872405
95,160200190,N,20097,S GENESEE ST,213,"S GENESEE ST, E/O 38TH AVE S",2014,20097,11300,314412, ,Y,4316.75631627842
96,94850100,N,12601,ROOSEVELT WAY NE,206,"ROOSEVELT WAY NE, N/O NE 50TH ST",2014,12601,10200,314524,Y,Y,9323.63930853616
97,120600150,N,15416,N 40TH ST,161,"N 40TH ST, E/O STONE WAY N",2014,15416,10500,316589, ,Y,4695.00078826017
98,31500060,N,6232,4TH AVE S,60,"4TH AVE S, S/O SEATTLE BLVD S",2014,6232,34900,315085,Y,Y,9143.61202872809
99,173050020,N,21691,SW ADMIRAL WAY,233,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",2014,21691,25000,315316, ,Y,5797.16372341431
100,164950060,N,20693,S LUCILE ST,218,"S LUCILE ST, E/O 4TH AVE S",2014,20693,11200,314181, ,Y,2110.63666944933
101,63200030,N,9960,DELRIDGE WAY SW,101,"DELRIDGE WAY SW, S/O SW ANDOVER ST",2014,9960,19200,315108,Y,Y,12560.2519582285
102,71050490,N,10746,GREENWOOD AVE N,130,"GREENWOOD AVE N, S/O N 80TH ST",2014,10746,12200,315174,Y,Y,4085.2716215683
103,38950590,N,7256,5TH AVE NE,265,"5TH AVE NE, N/O NE NORTHGATE WAY",2014,7256,13200,315960, ,Y,5299.08800735826
104,10750020,N,3090,20TH AVE W,37,"20TH AVE W, S/O W DRAVUS ST",2014,3090,6600,315978, ,Y,9516.92871871367
105,1500170,N,1298,10TH AVE E,20,"10TH AVE E, S/O E BOSTON ST",2014,1298,13300,315930, ,Y,6739.72457475202
106,4650470,N,1960,14TH AVE S,1,"14TH AVE S, N/O S DIRECTOR ST",2014,1960,10800,315059,Y, ,1863.58888052303
107,118650070,N,15160,N 130TH ST,158,"N 130TH ST, W/O LINDEN AVE N",2014,15160,23500,315184,Y,Y,2601.58535237012
108,125000070,N,15954,N 85TH ST,168,"N 85TH ST, W/O LINDEN AVE N",2014,15954,25300,315201,Y,Y,5288.15231999762
109,121950060,N,15641,N 50TH ST,165,"N 50TH ST, W/O FREMONT AVE N",2014,15641,11200,316398, ,Y,3394.51184103588
110,164200065,N,20628,S LANDER ST,278,"S LANDER ST, W/O 6TH AVE S",2014,20628,13500,315779, ,Y,3159.95873155522
111,47050080,Y,8157,7TH AVE,72,"7TH AVE, SE/O PIKE ST",2014,8157,7700,316692, ,Y,1628.52842408351
112,63200190,N,9976,DELRIDGE WAY SW,100,"DELRIDGE WAY SW, N/O SW MYRTLE ST",2014,9976,16600,315104,Y,Y,6001.0900010185
113,101100010,N,13189,UNIVERSITY BR,242,"UNIVERSITY BR, SW/O POINT A",2014,13189,28500,316280, ,Y,2568.76809875073
114,134650300,N,17278,NE 65TH ST,177,"NE 65TH ST, E/O 25TH AVE NE",2014,17278,15100,315970, ,Y,2556.73720265996
115,3400060,N,1656,12TH AVE S,262,"12TH AVE S, S/O S WELLER ST",2014,1656,17800,316852, ,Y,3408.18050983368
116,68700160,N,10498,FREMONT AVE N,124,"FREMONT AVE N, S/O N 46TH ST",2014,10498,9700,316442, ,Y,5330.67249982393
117,112750380,N,14372,E MADISON ST,108,"E MADISON ST, SW/O 38TH AVE E",2014,14372,13700,315952, ,Y,5345.49465099886
118,14850180,N,3605,24TH AVE NW,40,"24TH AVE NW, S/O NW 80TH ST",2014,3605,11100,316247, ,Y,7987.37352069935
119,93450300,N,12368,RAINIER AVE S,202,"RAINIER AVE S, SE/O M L KING JR WAY S",2014,12368,32500,315286,Y,Y,5858.37139919411
120,164950115,N,20699,S LUCILE ST,219,"S LUCILE ST, W/O 12TH AVE S",2014,20699,9800,316409, ,Y,2022.63837371979
121,48050420,N,8469,8TH AVE S,74,"8TH AVE S, S/O S DIRECTOR ST",2014,8469,2000,313892, ,Y,3436.94971094465
122,86200680,N,11752,MERIDIAN AVE N,151,"MERIDIAN AVE N, S/O N 145TH ST",2014,11752,3800,316579, ,Y,3986.47317772953
123,135950280,N,17527,NE 75TH ST,182,"NE 75TH ST, W/O 30TH AVE NE",2014,17527,16600,315214,Y,Y,2532.02921065363
124,63450045,B,10000,DENNY WAY,270,"DENNY WAY, W/O 2ND AVE",2014,10000,34100,315553, ,Y,1115.20564463718
125,135950110,N,17510,NE 75TH ST,181,"NE 75TH ST, E/O 12TH AVE NE",2014,17510,22000,315212,Y,Y,4121.4969239623
126,65750060,N,10230,ELLIS AVE S,121,"ELLIS AVE S, S/O S WARSAW ST",2014,10230,8300,316491, ,Y,6690.95318195086
127,112750115,N,14348,E MADISON ST,271,"E MADISON ST, SW/O 17TH AVE",2014,14348,23500,315581, ,Y,5371.13088777387
128,3300260,N,1589,12TH AVE NE,258,"12TH AVE NE, S/O NE 75TH ST",2014,1589,8200,316468, ,Y,2640.8954271984
129,81500030,N,11336,LEARY WAY NW,140,"LEARY WAY NW, NW/O 3RD AVE NW",2014,11336,28600,315176,Y,Y,5713.53060452727
130,139300090,N,18018,NE NORTHGATE WAY,186,"NE NORTHGATE WAY, W/O 15TH AVE NE",2014,18018,17400,315247,Y,Y,4527.71261262254
131,161950010,N,20314,S HOLGATE BR,216,"S HOLGATE BR, E/O S HOLGATE ST",2014,20314,7400,313763, ,Y,6227.30517120531
132,185250170,N,23222,W DRAVUS ST,244,"W DRAVUS ST, E/O 20TH AVE W",2014,23222,20900,316478, ,Y,1380.02633498574
133,65100270,N,10183,EASTLAKE AVE E,118,"EASTLAKE AVE E, SW/O HARVARD AVE E",2014,10183,13900,315890, ,Y,8709.56263594248
